,Listing Type,Address,Prices,Lat,Lon,Zip,Sq Ft,Beds,Baths,Price per Square Foot
4208,For Sale,"14535 W 54th Ave in Sunny Crest Hills, Arvada, 80002",640000.0,39.794657,-105.162472,80002.0,3302.0,6.0,2,193.82192610539067
4209,For Sale,"5550 Garrison St in Arvada Plaza Area, Arvada, 80002",390000.0,39.796958,-105.100468,80002.0,1034.0,2.0,1,377.1760154738878
4210,For Sale,"5402 Carr St Apt 104, Arvada, 80002",250000.0,39.795016,-105.090533,80002.0,967.0,3.0,1,258.5315408479835
4211,For Sale,"5220 Dudley St, Arvada, 80002",360000.0,39.791813,-105.094585,80002.0,1217.0,3.0,2,295.8093672966311
4212,For Sale,"5544 Lewis St Unit 205 in Oberon West, Arvada, 80002",349900.0,39.797175,-105.11596,80002.0,1313.0,2.0,2,266.48895658796647
4213,For Sale,"5300 Beech St in Appleridge Estates, Arvada, 80002",425000.0,39.792714,-105.14915,80002.0,1788.0,5.0,2,237.69574944071587
4214,For Sale,"6935 W 55th Pl in Vetting, Arvada, 80002",379999.0,39.797198,-105.074302,80002.0,1563.0,4.0,2,243.12156110044785
4215,For Sale,"9139 W 50th Ln Unit 101 in Four Acre Lake Condominiums, Arvada, 80002",400000.0,39.78852,-105.099479,80002.0,1044.0,2.0,2,383.1417624521073
4216,For Sale,"9119 W 50th Ln Unit 3 in Four Acre Lake Condominiums, Arvada, 80002",360000.0,39.787926,-105.099273,80002.0,1180.0,2.0,3,305.08474576271186
4217,For Sale,"10290 W 55th Ln Unit 103 in Oberon West, Arvada, 80002",275000.0,39.796077,-105.115822,80002.0,914.0,1.0,1,300.87527352297593
4218,For Sale,"5760 Dudley St in Arvada Plaza Area, Arvada, 80002",535000.0,39.801336,-105.094177,80002.0,1828.0,3.0,3,292.6695842450766
4219,For Sale,"5465 Zephyr St Unit 203 in Water Tower Village Condominiums, Arvada, 80002",385000.0,39.796478,-105.084914,80002.0,1140.0,2.0,2,337.719298245614
4220,For Sale,"7841 W 51st Ave Unit B, Arvada, 80002",489900.0,39.788762,-105.084498,80002.0,1795.0,3.0,4,272.924791086351
4221,For Sale,"5615 Jellison St in Arvada Plaza Area, Arvada, 80002",415000.0,39.798682,-105.107652,80002.0,2240.0,5.0,3,185.26785714285714
4222,For Sale,"6935 W 54th Ave, Arvada, 80002",349973.0,39.794357,-105.075518,80002.0,832.0,2.0,1,420.640625
4223,For Sale,"5755 Dudley St in Arvada Plaza Area, Arvada, 80002",405000.0,39.801307,-105.094827,80002.0,1261.0,3.0,1,321.17367168913563
4225,For Sale,"5545 Carr St in Arvada Plaza Area, Arvada, 80002",354900.0,39.797037,-105.091193,80002.0,1106.0,3.0,1,320.88607594936707
4226,For Sale,"5565 Brentwood St in Olde Town Arvada Area, Arvada, 80002",379900.0,39.797825,-105.090129,80002.0,1750.0,2.0,1,217.0857142857143
4227,For Sale,"5169 Allison St, Arvada, 80002",299000.0,39.79005,-105.086468,80002.0,850.0,2.0,1,351.7647058823529
