,zip,latitude,longitude,Average Price,Average Rating
23,80454,39.62,-105.23,2.0,4.471428571428572
12,80212,39.77,-105.05,2.2222222222222223,4.436842105263158
10,80204,39.73,-105.02,2.235294117647059,4.415000000000001
11,80211,39.77,-105.02,2.3333333333333335,4.405
22,80401,39.73,-105.21,1.7777777777777777,4.24
24,80465,39.65,-105.18,1.8,4.189473684210525
0,80002,39.79,-105.11,1.6,4.17
3,80005,39.85,-105.13,1.6,4.125000000000001
6,80110,39.64,-104.99,1.736842105263158,4.119999999999999
2,80004,39.82,-105.1,1.65,4.075
13,80214,39.74,-105.07,1.6470588235294117,4.055
15,80219,39.7,-105.04,1.7058823529411764,4.05
4,80031,39.88,-105.05,1.8,4.029999999999999
7,80123,39.62,-105.07,1.7058823529411764,4.005000000000001
5,80033,39.77,-105.09,1.45,4.005
18,80227,39.67,-105.09,1.6875,4.0
21,80236,39.65,-105.04,1.7058823529411764,3.9849999999999994
9,80128,39.56,-105.08,1.3529411764705883,3.9799999999999995
1,80003,39.83,-105.06,1.5789473684210527,3.975
14,80215,39.74,-105.12,1.7,3.975
19,80228,39.69,-105.17,1.5,3.9650000000000007
8,80127,39.57,-105.14,1.5625,3.9421052631578943
16,80221,39.82,-105.01,1.4,3.94
17,80226,39.71,-105.09,1.6111111111111112,3.825
20,80232,39.69,-105.09,1.588235294117647,3.7800000000000002
