,Listing Type,Address,Prices,Lat,Lon,Zip,Sq Ft,Beds,Baths,Price per Square Foot
0,Sold,"10350 W 55th Ln Unit 202 in Oberon West - Arvada,CO, Arvada, 80002",350000.0,39.796539,-105.117386,80002.0,1313.0,2.0,3,266.56511805026656
1,Sold,"5563 Newland Way, Arvada, 80002",420000.0,39.797902,-105.070391,80002.0,2092.0,4.0,4,200.76481835564053
2,Sold,"5747 Falk Ct in Arvada Plaza Area - Arvada,CO, Arvada, 80002",445500.0,39.800982,-105.098869,80002.0,1320.0,3.0,3,337.5
3,Sold,"4890 Estes St in Pleasant Valley - Arvada,CO, Arvada, 80002",360000.0,39.785095,-105.094654,80002.0,1228.0,5.0,1,293.15960912052117
4,Sold,"5515 Otis Ct in Vetting - Arvada,CO, Arvada, 80002",376000.0,39.796628,-105.071632,80002.0,983.0,2.0,1,382.5025432349949
5,Sold,"5505 Pierce Ct in Vetting - Arvada,CO, Arvada, 80002",250000.0,39.796453,-105.072532,80002.0,720.0,2.0,1,347.22222222222223
6,Sold,"5110 Jellison Ct in Arvada Plaza Area - Arvada,CO, Arvada, 80002",345000.0,39.790612,-105.107399,80002.0,925.0,2.0,1,372.97297297297297
7,Sold,"5341 Johnson St in Arvada Plaza Area - Arvada,CO, Arvada, 80002",465000.0,39.794601,-105.108025,80002.0,2203.0,3.0,3,211.07580571947344
8,Sold,"8007 Grandview Ave in Olde Town Arvada Area - Arvada,CO, Arvada, 80002",475000.0,39.798603,-105.086839,80002.0,1332.0,3.0,1,356.6066066066066
9,Sold,"5342 Arbutus St in Appleridge Estates - Denver,CO, Arvada, 80002",450000.0,39.793647,-105.148131,80002.0,1775.0,4.0,4,253.5211267605634
10,Sold,"5480 Hoyt Dr in Arvada Plaza Area - Arvada,CO, Arvada, 80002",372750.0,39.796484,-105.104,80002.0,1003.0,3.0,3,371.63509471585246
11,Sold,"8554 W 48th Pl, Arvada, 80002",395000.0,39.784655,-105.093102,80002.0,1614.0,3.0,3,244.73358116480793
12,Sold,"5427 Zephyr Ct in Water Tower Village Condominiums - Arvada,CO, Arvada, 80002",82853.0,39.795931,-105.085597,80002.0,1346.0,2.0,3,61.55497771173849
13,Sold,"5345 Union Way in Rainbow Ridge - Arvada,CO, Arvada, 80002",625000.0,39.793013,-105.134446,80002.0,2432.0,4.0,5,256.99013157894734
15,Sold,"5242 Union Ct Unit 3 in Appleridge Estates - Denver,CO, Arvada, 80002",393000.0,39.791854,-105.133873,80002.0,1123.0,2.0,3,349.95547640249333
16,Sold,"5655 Estes St in Arvada Plaza Area - Arvada,CO, Arvada, 80002",660000.0,39.799409,-105.095782,80002.0,1582.0,5.0,4,417.19342604298356
17,Sold,"5034 Everett St Unit 201, Arvada, 80002",308775.0,39.788126,-105.095725,80002.0,1151.0,2.0,4,268.26672458731537
18,Sold,"13571 W 54th Ave in Appleridge Estates - Denver,CO, Arvada, 80002",685000.0,39.794678,-105.151192,80002.0,2230.0,4.0,4,307.17488789237666
19,Sold,"6505 W 54th Pl in Columbine Acres - Arvada,CO, Arvada, 80002",350000.0,39.795139,-105.069329,80002.0,1421.0,3.0,3,246.30541871921181
20,Sold,"8070 Grandview Ave, Arvada, 80002",445000.0,39.797549,-105.087423,80002.0,1170.0,3.0,3,380.34188034188037
21,Sold,"7931 W 55th Ave Apt 304, Arvada, 80002",308000.0,39.797431,-105.084855,80002.0,877.0,1.0,2,351.19726339794755
22,Sold,"6660 W 54th Ave in Columbine Acres - Arvada,CO, Arvada, 80002",412500.0,39.79414,-105.07047,80002.0,1421.0,4.0,3,290.28852920478533
23,Sold,"6965 W 54th Ave, Arvada, 80002",325000.0,39.794358,-105.076064,80002.0,1145.0,3.0,2,283.8427947598253
24,Sold,"7906 W 54th Ave in Water Tower Village Condominiums - Arvada,CO, Arvada, 80002",405000.0,39.794893,-105.085126,80002.0,1346.0,2.0,3,300.8915304606241
25,Sold,"6885 Reno Dr in Vetting - Arvada,CO, Arvada, 80002",329900.0,39.797893,-105.073289,80002.0,907.0,3.0,1,363.7265711135612
26,Sold,"6870 W 55th Pl in Vetting - Arvada,CO, Arvada, 80002",354000.0,39.796787,-105.073025,80002.0,720.0,2.0,1,491.6666666666667
27,Sold,"5411 Water Tower Promenade Unit 203 in Water Tower Village Condominiums - Arvada,CO, Arvada, 80002",360000.0,39.795523,-105.084086,80002.0,1140.0,2.0,3,315.7894736842105
28,Sold,"7841 W 51st Ave Unit A, Arvada, 80002",489900.0,39.788762,-105.084569,80002.0,1967.0,3.0,4,249.05948144382307
29,Sold,"5340 Otis St in Columbine Acres - Arvada,CO, Arvada, 80002",281000.0,39.793241,-105.071331,80002.0,1198.0,3.0,1,234.5575959933222
30,Sold,"5620 Carr St in Olde Town Arvada Area - Arvada,CO, Arvada, 80002",365000.0,39.79993,-105.090462,80002.0,672.0,2.0,1,543.1547619047619
31,Sold,"5340 Garland St in Arvada Plaza Area - Arvada,CO, Arvada, 80002",575000.0,39.792857,-105.100875,80002.0,1176.0,4.0,4,488.94557823129253
33,Sold,"8949 W 50th Ln Unit 3 in Four Acre Lake Condominiums - Arvada,CO, Arvada, 80002",372000.0,39.788198,-105.096958,80002.0,1180.0,2.0,4,315.2542372881356
34,Sold,"5351 Cole Cir in Appleridge Estates - Denver,CO, Arvada, 80002",581000.0,39.793501,-105.152993,80002.0,2109.0,3.0,4,275.48601232811757
35,Sold,"5275 Taft Ct in The Estates At Rainbow Ridge - Arvada,CO, Arvada, 80002",652800.0,39.792762,-105.132721,80002.0,2832.0,4.0,4,230.5084745762712
36,Sold,"9159 W 50th Ln Unit 203 in Four Acre Lake Condominiums - Arvada,CO, Arvada, 80002",294500.0,39.788689,-105.099833,80002.0,1151.0,2.0,3,255.86446568201563
37,Sold,"5364 Allison St, Arvada, 80002",427000.0,39.794408,-105.084648,80002.0,1340.0,2.0,3,318.65671641791045
